Race_Ethnicity,Incarceration_Rate_per_100k,Rate_Ratio_vs_White,Percentage_of_Prison_Population,Source,Source_Citation
White,214,1.0,30.0,Prison Policy Initiative (2024),Prison Policy Initiative. (2024). Racial and ethnic disparities.
Black/African American,1265,5.9,38.0,Prison Policy Initiative (2024),Prison Policy Initiative. (2024). Racial and ethnic disparities.
Hispanic/Latino,664,3.1,23.0,Prison Policy Initiative (2024),Prison Policy Initiative. (2024). Racial and ethnic disparities.
American Indian/Alaska Native,1028,4.8,2.0,Prison Policy Initiative (2024),Prison Policy Initiative. (2024). Racial and ethnic disparities.
Asian/Pacific Islander,85,0.4,1.0,Prison Policy Initiative (2024),Prison Policy Initiative. (2024). Racial and ethnic disparities.
